_id,scanType,SSID,isAttendance,loc,name,round,roundType,scanTime,timeGap,user,company,createdAt,extraInfo.url
5e10e457c6113b0013eb21d6,regular,VODACOM-B315-7E65(35.0),FALSE,"c(-26.5396679, 28.3307723)",Guard Room,8,circular,2020-01-04T19:12:01Z,1hr 3min,592e97beb1bc36000430b259,592e9549b1bc36000430b252,2020-01-04T19:15:35Z,
5e10e3b1c6113b0013eb21ca,regular,Erwat_Staff(81.0),FALSE,"c(-26.0240849, 28.2842207)",Fence near Lapa,0,circular,2020-01-04T19:12:44Z,0hr 58min,592e9a13b1bc36000430b266,592e9549b1bc36000430b252,2020-01-04T19:12:49Z,
5e10e3b4c6113b0013eb21cb,regular,VODACOM-B315-B13C(93.0),FALSE,"c(-26.2713854, 28.4802789)",Main Office,8,circular,2020-01-04T19:12:44Z,1hr 0min,592e981eb1bc36000430b25b,592e9549b1bc36000430b252,2020-01-04T19:12:52Z,
5e10e3c1c6113b0013eb21cc,regular,-81,FALSE,"c(-26.1940649, 28.0316105)",Visitor's Entrance_Head office,0,circular,2020-01-04T19:13:02Z,1hr 2min,5b3044580f860900136342fa,595d047eae9b350004bd44fc,2020-01-04T19:13:05Z,
5e10e46ec6113b0013eb21d9,regular,VODACOM-B315-B105(66.0),FALSE,"c(-26.446041, 28.4460945)",Workshop,7,circular,2020-01-04T19:13:44Z,1hr 3min,592e96d4b1bc36000430b255,592e9549b1bc36000430b252,2020-01-04T19:15:58Z,
5e10e457c6113b0013eb21d7,regular,VODACOM-B315-7E65(35.0),FALSE,"c(-26.539789, 28.330282)",Power Station,8,circular,2020-01-04T19:13:46Z,0hr 46min,592e97beb1bc36000430b259,592e9549b1bc36000430b252,2020-01-04T19:15:35Z,
5e10e3f9c6113b0013eb21cd,regular,NA(84.0),FALSE,"c(-26.3252133, 28.16609)",Step 5 Screen,10,circular,2020-01-04T19:13:55Z,0hr 50min,592e9908b1bc36000430b260,592e9549b1bc36000430b252,2020-01-04T19:14:01Z,
5e10e3fcc6113b0013eb21ce,regular,1933 Tattoo Studio 5Ghz(81.0),FALSE,"c(-26.1940649, 28.0316105)",Upper Parking Exit Door_Head office,0,circular,2020-01-04T19:14:01Z,1hr 2min,5b3044580f860900136342fa,595d047eae9b350004bd44fc,2020-01-04T19:14:04Z,
5e10e410c6113b0013eb21cf,regular,NA(81.0),FALSE,"c(-26.0240849, 28.2842207)",Lapa Wall Back,0,circular,2020-01-04T19:14:21Z,0hr 59min,592e9a13b1bc36000430b266,592e9549b1bc36000430b252,2020-01-04T19:14:24Z,
5e10e48cc6113b0013eb21db,regular,VODACOM-B315-B105(65.0),FALSE,"c(-26.446041, 28.4460945)",Ermegency Room,7,circular,2020-01-04T19:14:22Z,1hr 2min,592e96d4b1bc36000430b255,592e9549b1bc36000430b252,2020-01-04T19:16:28Z,
