,Region,Median Listing Price,Active Listing Count,Days in the market
0,Midwest,256169.3431307794,141946.0,73.31472919418758
1,Northeast,494703.0211111111,151542.0,70.61962962962963
2,South,321678.8826688701,362159.0,70.14211939681884
3,West,665991.890881343,139735.0,56.745135444486834
